Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-01-04 06:12 (EST),On Demand,Kendall Toole,10,Cycling,Low Impact,10 min Warm Up Ride,2019-12-03 16:00 (EST),43,72,31%,88,14.01,2.33,57,,,
2020-01-04 06:24 (EST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-01-04 03:51 (EST),166,139,42%,82,17.46,5.81,219,,,
2020-01-04 06:46 (EST),On Demand,Cody Rigsby,20,Cycling,Music,20 min Pop Ride,2019-12-14 08:00 (EST),136,113,41%,80,16.48,5.49,179,,,
2020-01-04 07:08 (EST),On Demand,Olivia Amato,10,Cycling,Low Impact,10 min Cool Down Ride,2019-08-27 17:01 (EST),43,72,34%,79,13.76,2.29,56,,,
2020-01-04 07:19 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-18 07:00 (EST),,,,,,,12,,,
2020-01-05 09:43 (EST),On Demand,Ally Love,20,Cycling,Theme,20 min Feel Good Ride,2020-01-01 07:00 (EST),158,132,41%,87,17.87,5.96,208,,,
2020-01-05 10:05 (EST),On Demand,Ally Love,5,Cycling,Low Impact,5 min Cool Down Ride,2020-01-04 07:00 (EST),28,93,40%,73,15.41,1.28,37,,,
2020-01-06 10:57 (EST),On Demand,Ben Alldis,20,Cycling,Low Impact,20 min Recovery Ride,2019-12-19 06:37 (EST),72,60,30%,82,12.93,4.30,95,,,
2020-01-07 05:48 (EST),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Warm Up Ride,2019-11-14 16:16 (EST),41,68,29%,90,13.41,2.23,53,,,
2020-01-07 06:00 (EST),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-01-02 05:49 (EST),317,117,39%,83,16.81,12.61,417,,,
2020-01-07 06:45 (EST),On Demand,Matt Wilpers,5,Cycling,Low Impact,5 min Cool Down Ride,2019-10-25 15:52 (EST),18,60,30%,84,12.99,1.08,24,,,
2020-01-07 06:52 (EST),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-12-16 20:00 (EST),,,,,,,12,,,
2020-01-08 05:46 (EST),On Demand,Olivia Amato,30,Cycling,Music,30 min Country Ride,2020-01-06 11:19 (EST),190,106,39%,80,16.26,8.13,250,,,
2020-01-09 14:14 (EST),On Demand,Christine D'Ercole,5,Cycling,Low Impact,5 min Warm Up Ride,2019-12-06 12:00 (EST),22,75,31%,89,13.72,1.14,29,,,
2020-01-09 14:21 (EST),On Demand,Christine D'Ercole,20,Cycling,Intervals,20 min Tabata Ride,2019-12-16 10:52 (EST),133,111,34%,93,15.73,5.23,175,,,
2020-01-09 14:43 (EST),On Demand,Jess King,15,Cycling,Music,15 min Pop Ride,2020-01-08 13:46 (EST),112,125,42%,83,17.40,4.34,148,,,
